agent_key,agent_name,agent_role,agent_framework,agent_purpose,system_name,domain,vendor_name,vendor_type,vendor_jurisdiction,llm_name,llm_capability_tier,llm_context_window,owner_user_id,owner_role_key,risk_tier,approval_status,primary_control_framework,primary_control_id,deployed_at,decommissioned_at,notes
stock.debate.bull,stock-debate-bull,bull,custom,Argue bull case in multi-agent stock debate using fundamental + technical signals,Stock Debate Agent,stock,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P1,2026-03-20,,
stock.debate.bear,stock-debate-bear,bear,custom,Argue bear case in multi-agent stock debate,Stock Debate Agent,stock,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P1,2026-03-20,,
stock.debate.moderator,stock-debate-moderator,moderator,custom,Synthesise bull vs bear arguments; produce consensus verdict,Stock Debate Agent,stock,google,commercial,US,gemini-2.5-pro,frontier,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P6,2026-03-20,,Human-oversight-sensitive — verdicts reviewed on-demand
stock.debate.fundamental,stock-debate-fundamental,fundamental,custom,Analyse fundamentals (P/E ROE growth margins) for debate input,Stock Debate Agent,stock,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,low,approved,AU_6_2025,P1,2026-03-20,,
stock.debate.technical,stock-debate-technical,technical,custom,Compute TA signals (RSI MACD Bollinger) for debate input,Stock Debate Agent,stock,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,low,approved,AU_6_2025,P1,2026-03-20,,
stock.debate.chart_vision,stock-debate-chart-vision,chart-vision,custom,Multimodal chart analysis via Gemini vision for debate input,Stock Debate Agent,stock,google,commercial,US,gemini-2.5-pro,frontier,1000000,donny@datap.ai,cto,low,approved,AU_6_2025,P1,2026-03-20,,
stock.news,stock-news-agent,news-analyst,custom,Extract + score IR news for stock sentiment,Stock Intelligence,stock,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P2,2026-04-01,,Potential impact on retail investor decisions
stock.screener,stock-screener-agent,screener,custom,Rank stocks against IR universe via multi-factor scoring,Stock Intelligence,stock,google,commercial,US,gemini-2.5-flash,mid,1000000,donny@datap.ai,cto,medium,approved,AU_6_2025,P1,2026-03-15,,
stock.ir_analyzer,stock-ir-analyzer,ir-analyst,custom,Summarise earnings calls + guidance for IR briefing,Stock Intelligence,stock,google,commercial,US,gemini-2.5-pro,frontier,1000000,donny@datap.ai,cto,medium,approved,FINRA_24_09,FINRA.COMM,2026-04-10,,Relevant to FINRA Rule 2210 customer-communication standards
stock.broker_screenshot,stock-broker-screenshot,extractor,custom,OCR broker portfolio screenshots → structured holdings,Stock Intelligence,stock,google,commercial,US,gemini-2.5-pro,frontier,1000000,donny@datap.ai,cto,high,approved,AU_6_2025,P4,2026-03-25,,Handles PII (portfolio holdings); extra disclosure required
