model_name,domain,ai_enabled,certified_for_ai,ai_access_level,sensitivity_level,contains_pii,contains_phi,default_answer_mode,risk_tier,compliance_domain,owner_team,business_owner,steward,retrieval_policy,summarization_policy,explanation_policy,rag_exposure,export_policy,agent_action_policy,safe_description
customers,full-jaffle-shop,true,true,approved,confidential,true,false,masked,medium,crm,data-platform,head_of_analytics,data-governance-team,limited,masked_only,allow,metadata_only,deny,deny,Customer dimension table with aggregated order history. Contains PII fields (name age) that are masked in AI output. Use for aggregate analytics only.
orders,full-jaffle-shop,true,true,approved,confidential,false,false,aggregate_only,high,finance,finance-team,cfo,data-governance-team,limited,aggregate_only,allow,metadata_only,deny,deny,Order fact table. Aggregate-only: AI may report on counts sums and averages but may NOT return individual order records. Financial data.
payments,full-jaffle-shop,true,false,restricted,restricted,false,false,aggregate_only,critical,finance_pci,finance-team,cfo,data-governance-team,deny,aggregate_only,safe_only,deny,deny,deny,Payment transaction records. Restricted access. Aggregate queries only. Do not expose payment method details or individual amounts.
membership,full-jaffle-shop,true,true,approved,internal,false,false,full,low,subscriptions,product-team,,data-governance-team,allow,allow,allow,allow,deny,deny,Customer membership and subscription status. Safe for AI use. Can be used for filtering grouping and reporting.
events,full-jaffle-shop,true,false,internal,internal,true,false,aggregate_only,medium,behavioural,data-platform,,data-governance-team,deny,aggregate_only,safe_only,deny,deny,deny,Web and app event stream. Contains session and page-view data. PII fields (ip_address user_agent) are excluded from AI context. Aggregate use only.
users,full-jaffle-shop,false,false,deny,restricted,true,false,deny,critical,identity,identity-team,,data-governance-team,deny,deny,deny,deny,deny,deny,Raw user identity table. Hard deny for all AI use. Access controlled by the identity-team only.
plan,full-jaffle-shop,true,true,approved,public,false,false,full,low,product,product-team,,data-governance-team,allow,allow,allow,allow,deny,deny,Product/subscription plan catalog. Fully AI-approved. Safe for RAG Text2SQL summarization and explanation.
stg_customer,chinook,true,false,restricted,restricted,true,false,masked,high,crm_pii,data-platform,,data-governance-team,deny,masked_only,safe_only,deny,deny,deny,Staged customer records from Chinook music store. Contains direct PII. AI may use this for aggregate customer analytics only.
stg_employee,chinook,true,false,restricted,restricted,true,false,deny,critical,hr_sensitive,hr-team,chro,data-governance-team,deny,deny,deny,deny,deny,deny,Employee records. Contains PII and salary data. Severely restricted. Available only for org-chart count queries in the hr workspace.
stg_invoice,chinook,true,true,approved,confidential,false,false,aggregate_only,high,finance,finance-team,,data-governance-team,limited,aggregate_only,allow,metadata_only,deny,deny,Invoice/revenue data for the Chinook music store. Certified for aggregate financial analytics. Do not expose individual invoice amounts.
stg_track,chinook,true,true,approved,public,false,false,full,low,product_catalog,data-platform,,data-governance-team,allow,allow,allow,allow,deny,deny,Music track catalog. Fully AI-approved for all use cases. No PII or sensitive data. Safe for RAG Text2SQL and summarization.
stg_artist,chinook,true,true,approved,public,false,false,full,low,product_catalog,data-platform,,,allow,allow,allow,allow,deny,deny,Music artist reference data. Fully AI-approved.
stg_album,chinook,true,true,approved,public,false,false,full,low,product_catalog,data-platform,,,allow,allow,allow,allow,deny,deny,Music album catalog. Fully AI-approved.
stg_genre,chinook,true,true,approved,public,false,false,full,low,product_catalog,data-platform,,,allow,allow,allow,allow,deny,deny,Music genre reference. Fully AI-approved.
